avg_secchi,roaddensity_density_mperha,MIROC5.avg.ann.gdd
10.88,28.5816,2133.080833064452
10.88,28.5816,2133.080833064452
11.7348,18.6657,2315.219907054188
0.6248,66.9898,2629.560674745497
0.31,73.1826,2867.218295808302
0.7619836,34.0797,2501.0554145332753
0.918167203,85.5335,2748.994491235969
1.146863469,77.6221,2673.6804833937363
2.7432,63.816,2626.796104664372
1.98214527,92.6389,2519.1269440694755
2.571705112,44.2011,2520.508263800288
1.955112195,104.1512,2667.2697878876015
1.66660098,76.7696,2682.0948929205556
3.679050794,37.3234,2619.772551066567
1.391927737,90.806,2713.023983136602
1.874242424,9.7142,2643.3166489977675
2.439264706,19.0464,2661.7274286884417
1.840947778,49.6204,2676.5801778309883
3.467823529,85.1868,2586.8364886306563
3.374182564,48.1773,2235.4915199174643
3.302962543,71.9184,2159.3816307034563
3.321019827,62.5461,2266.2747022662593
1.759939003,29.4784,2314.022840163288
3.545205446,67.0541,2157.5681175790164
4.240989029,49.6396,2145.7097712492846
2.582881146,35.9657,2214.5392391669557
3.396240908,35.2551,2234.9814252570377
3.723580926,69.4655,2157.1954150001648
3.778726025,33.0531,2132.128552009778
2.791264723,30.0683,2186.118546445139
1.856152809,21.1085,2219.420893128059
2.153136207,33.1861,2228.2554397682316
2.401,37.9007,2157.1954150001648
2.716216667,47.6689,2262.126699525907
3.137430894,22.5438,2263.4064055319654
3.720473529,27.8395,2030.1377037329885
3.218243284,37.7545,2206.4598291974507
4.019021538,61.5905,2234.846481605907
3.636026087,35.6676,2030.1377037329885
4.1148,60.3518,2213.575194542208
3.548489552,38.4945,2150.992384476986
2.529,17.2394,2151.4941597769343
4.079306803,40.1846,2151.910230863632
2.418737778,16.0701,2244.3260007562153
2.078150289,30.4775,2293.1733972757047
2.7432,40.4136,2249.080304643795
3.723582873,26.5723,2222.652871338531
3.083651429,30.7304,2282.3162780356715
2.53524631,34.2202,2137.1875741962963
2.1209,17.9185,2310.5469994930195
1.34112,18.7338,2137.1875741962963
2.493869307,12.5466,2254.2819704702147
2.271500559,22.8944,2234.1043381397526
2.619888344,25.7729,2262.0162224270734
1.793965714,24.4087,2286.5180866090905
1.627824,23.5652,2280.781957070928
1.068496063,38.495,2697.0002123764975
1.991696744,38.6108,2264.4855564904074
1.59532,52.1829,2293.2621423152036
1.124089712,32.0378,2274.0649751769283
1.63068,53.1972,2548.3582715528455
0.971640764,127.3471,2729.705341289837
3.357442975,130.0251,2616.318514495156
1.475342122,94.7058,2683.954356712041
1.316197023,126.6005,2716.8690034786837
0.431818182,118.2152,2865.7944770925815
3.894768047,110.5677,2586.121844580541
2.136626812,89.2272,2622.972191337114
2.385199375,133.9321,2645.1635832678344
1.68919,129.0236,2697.656130457873
1.5494,99.9197,2724.677394319319
3.035027778,60.0751,2598.1581288895695
2.112583333,59.3242,2610.784765853912
1.708861489,120.0002,2674.1276943207627
5.115182524,104.7277,2670.329538047015
0.83356175,64.0861,2768.612743826939
1.64,70.0713,2701.3219662527085
1.528961814,88.0577,2677.9050396211446
2.160246154,100.1694,2659.6279939240626
1.794937626,90.5821,2639.653434166681
