avg_secchi,roaddensity_density_mperha,IPSL.avg.ann.gdd
2.883679918,24.1841,2149.607903582095
3.243943662,29.0417,1893.5722892528097
2.830850413,30.2771,2051.2309495571963
4.353151648,54.4162,2051.2309495571963
2.651096154,54.5322,2051.2309495571963
4.303095502,61.3463,2059.9752343284467
5.198569281,62.903,2033.703289877922
3.298685712,30.7926,2051.2309495571963
4.303714286,45.3602,2051.2309495571963
4.013248,63.5738,2051.2309495571963
4.341953271,47.6807,2051.2309495571963
4.2164,87.4742,2101.8034627588636
5.44638033,40.3373,2113.638983064927
3.917602469,32.2135,2051.2309495571963
3.668894382,37.9752,2051.2309495571963
4.320764835,40.1336,2051.2309495571963
4.896706667,42.9196,2089.3053590186178
2.241877778,11.459,2051.2309495571963
4.354277229,57.0502,1995.6377130826952
3.27244882,83.3935,2141.277490371548
2.896766026,52.2278,2152.1196659808124
4.541807746,59.5022,2192.258644253886
3.858911184,36.4583,2101.2447052514553
4.492374026,38.4153,2051.2309495571963
3.421818993,97.1958,2108.4761396943018
2.942133333,39.6857,2157.2579312494186
2.8652,45.3259,2142.343300204496
2.3918,80.9011,2142.343300204496
3.905236379,63.0523,2101.2447052514553
2.312960677,41.0234,2177.969292097652
6.97992,28.5816,2142.611516480939
9.0678,28.5816,2037.7508927269616
10.88,28.5816,2065.477952402105
10.88,28.5816,2037.7508927269616
10.88,28.5816,2037.7508927269616
11.7348,18.6657,2211.7141709710236
0.6248,66.9898,2489.2507161930075
0.31,73.1826,2707.956297840202
0.7619836,34.0797,2361.3223331757877
0.918167203,85.5335,2598.6600289093753
1.146863469,77.6221,2529.28618601954
2.7432,63.816,2484.740611808329
1.98214527,92.6389,2383.145721702998
2.571705112,44.2011,2385.0395144785184
1.955112195,104.1512,2525.6779758599064
1.66660098,76.7696,2541.593319410065
3.679050794,37.3234,2478.559655955102
1.391927737,90.806,2566.5783665971267
1.874242424,9.7142,2500.2877650541864
2.439264706,19.0464,2520.9888214847806
1.840947778,49.6204,2534.248396598662
3.467823529,85.1868,2446.9987193288343
3.374182564,48.1773,2138.6782774618814
3.302962543,71.9184,2067.8904937957304
3.321019827,62.5461,2174.296747080675
1.759939003,29.4784,2213.232436157929
3.545205446,67.0541,2066.7529188521967
4.240989029,49.6396,2067.053301086221
2.582881146,35.9657,2121.067720940949
3.396240908,35.2551,2143.0532328523095
3.723580926,69.4655,2066.30206224364
3.778726025,33.0531,2046.1029261685785
2.791264723,30.0683,2098.896118589326
1.856152809,21.1085,2116.5587454505912
2.153136207,33.1861,2130.973629612251
2.401,37.9007,2066.30206224364
2.716216667,47.6689,2163.206494674958
3.137430894,22.5438,2163.148388170505
3.720473529,27.8395,1939.233187889351
3.218243284,37.7545,2109.2216625538604
4.019021538,61.5905,2138.8250686414044
3.636026087,35.6676,1939.233187889351
4.1148,60.3518,2125.9802969053144
3.548489552,38.4945,2062.7894771352753
2.529,17.2394,2053.291709364695
4.079306803,40.1846,2066.2757057684416
2.418737778,16.0701,2146.5093422709388
2.078150289,30.4775,2192.9805351407986
2.7432,40.4136,2161.4793980925433
3.723582873,26.5723,2136.204851764498
3.083651429,30.7304,2187.6476362542367
2.53524631,34.2202,2043.14383565615
2.1209,17.9185,2214.122005541601
1.34112,18.7338,2043.14383565615
2.493869307,12.5466,2160.577358027818
2.271500559,22.8944,2140.40261643024
2.619888344,25.7729,2168.5108573842617
1.793965714,24.4087,2191.067478966823
1.627824,23.5652,2186.016466690044
1.068496063,38.495,2559.69531517852
1.991696744,38.6108,2169.310731466372
1.59532,52.1829,2202.8466679651137
