DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,SURVEYED,EWMSTATUS,avg_secchi,max_secchi,roaddensity_density_mperha,ACCESS.avg.ann.gdd,MIROC5.avg.ann.gdd,IPSL.avg.ann.gdd,GFDL.avg.ann.gdd,MRI.avg.ann.gdd
10000200,Lake or Pond,458766.2128,4964838.5,Carver,Y,1,2.220684103,9.7,92.216,2505.8997357873386,2639.9711451529733,2502.88306042854,2320.0399941476994,2321.632475492352
10000500,Lake or Pond,453295.2316,4959665.599,Carver,Y,1,3.527896552,9.1,74.5059,2477.456325278813,2609.484801260953,2469.195328431752,2289.453196483469,2294.8882315684637
10000600,Lake or Pond,458129.278,4969419.185,Carver,Y,1,1.534992195,4.6,126.0616,2508.068262551373,2638.146859612923,2504.273923055549,2319.52554277116,2318.9802534353107
10000700,Lake or Pond,455808.8316,4969527.077,Carver,Y,1,1.438565401,6.9,58.2076,2552.1442220897684,2688.744104498494,2551.1373660160384,2364.775807117707,2365.939627064782
10000900,Lake or Pond,451923.2334,4969723.697,Carver,Y,1,2.677137166,8.23,83.788,2383.501702341583,2509.8915715797243,2380.5609216683656,2200.5882603162877,2199.22636489671
10001200,Lake or Pond,455777.7334,4968803.557,Carver,Y,1,2.898924675,7.2,25.6257,2500.44752868551,2634.1772744090667,2498.043497057298,2312.198421807041,2314.7883889476757
10001300,Lake or Pond,457234.7434,4966615.391,Carver,Y,1,1.457567917,4.75,110.723,2533.010480748353,2668.4420040997306,2532.5251681805316,2350.225785333916,2351.1206511485693
10001500,Lake or Pond,450035.3473,4970489.965,Carver,Y,1,1.476571503,4,89.2722,2467.839995547015,2596.191660518346,2465.828839211912,2281.003655230704,2280.0971880694883
10001800,Lake or Pond,448964.4579,4969387.824,Carver,Y,1,1.780411765,5.5,67.7221,2438.4000381602505,2564.4719460927427,2437.6397230979596,2257.7500072801963,2261.004039828334
10001900,Lake or Pond,449417.4961,4965063.183,Carver,Y,1,2.168862253,7,69.6609,2419.2583601816546,2539.9811873611525,2415.3614131672575,2232.3089575849294,2243.996128864579
10002900,Lake or Pond,441319.1837,4959435.693,Carver,Y,0,0.79807218,3.585,4.9428,2598.0172333921373,2728.557068070135,2598.213810974497,2412.8633964296428,2426.588624326313
10004100,Lake or Pond,447386.2309,4970187.927,Carver,Y,1,2.878928462,8.83,40.9,2318.516405098285,2436.310967603209,2317.146944963326,2142.6439461249197,2141.5228009065268
10004200,Lake or Pond,442272.4131,4970141.587,Carver,Y,1,1.067381643,5.4,18.1459,2430.863003667523,2554.7485204179047,2429.4512378030922,2253.8472566924665,2257.5540470895194
