DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,SURVEYED,EWMSTATUS,avg_secchi,max_secchi,roaddensity_density_mperha,ACCESS.Curr,MIROC5.Curr,IPSL.Curr,GFDL.Curr,MRI.Curr,ACCESS.Futr,MIROC5.Futr,IPSL.Futr,GFDL.Futr,MRI.Futr,ACCESS.domain,MIROC5.domain,IPSL.domain,GFDL.domain,MRI.domain
5001300,Lake or Pond,409065.841,5064907.184,Benton,Y,0,0.786390981,3.8,38.7275,1878.0277671183817,1909.0195386599232,1886.3024881436736,1898.6027456067932,1776.7010876023417,2335.421446717844,2451.5693879332252,2338.6577148726983,2164.3188663959018,2153.881491229111,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog
7004400,Lake or Pond,435926.3612,4893233.802,Blue Earth,Y,1,1.493440485,6.8,73.1354,2046.1079224955615,2073.0519253667635,2031.6351023783616,2059.1604026407035,1921.0204614311033,2521.7780225571973,2643.3925732570137,2508.8024186474895,2321.1275288938787,2333.4840725537415,NonAnalog,NonAnalog,NonAnalog,NonAnalog,NonAnalog
7005400,Lake or Pond,433248.5622,4895737.786,Blue Earth,Y,1,1.2991152,3.81,65.8484,1974.0680452051283,2003.3903282737951,1955.4524064495267,1981.3882256667785,1850.0287063773333,2455.9226429309656,2573.492806798504,2442.232029251128,2260.537094697206,2267.921367572273,NonAnalog,NonAnalog,NonAnalog,NonAnalog,NonAnalog
7007900,Lake or Pond,417777.2175,4857511.654,Blue Earth,Y,1,1.350859353,3.1,20.2353,2057.564517929395,2079.5379895296533,2037.8058858837296,2051.056607584678,1914.777652614175,2532.7124117132817,2657.832844972098,2521.630211608988,2340.884658393714,2364.6079242398596,NonAnalog,NonAnalog,NonAnalog,NonAnalog,NonAnalog
9000800,Lake or Pond,541359.8476,5163533.842,Carlton,Y,1,3.826360935,6.4,47.826,1413.533093121275,1428.2917369250415,1443.2715770923817,1431.27067150513,1327.4523480266,1806.4016535088977,1881.9034113438256,1805.22348433083,1670.3148160061385,1666.529150591762,Analog,Analog,Analog,Analog,Analog
9003400,Lake or Pond,524769.8395,5149446.059,Carlton,Y,1,2.778178621,7,76.0069,1435.6653978854683,1451.6204731242933,1456.5828416694949,1449.5744931562483,1346.0211737208815,1835.128409086666,1917.2412567761085,1835.6446505990873,1697.5955481770889,1685.015493641268,Analog,Analog,Analog,Analog,Analog
9003500,Lake or Pond,524728.5726,5147797.757,Carlton,Y,1,3.612104455,13,66.8005,1445.642422497585,1464.2762387370467,1466.957721576925,1461.3279496323885,1355.885735310375,1847.3310432481155,1930.0453482337991,1849.6075923407989,1706.1309766212023,1696.5905027026631,Analog,Analog,Analog,Analog,Analog
10000200,Lake or Pond,458766.2128,4964838.5,Carver,Y,1,2.220684103,9.7,92.216,2025.001469452755,2055.5320922630317,2023.4193104293984,2041.5514373037831,1911.2746952262632,2505.8997357873386,2639.9711451529733,2502.88306042854,2320.0399941476994,2321.632475492352,NonAnalog,NonAnalog,NonAnalog,NonAnalog,NonAnalog
10000500,Lake or Pond,453295.2316,4959665.599,Carver,Y,1,3.527896552,9.1,74.5059,1995.782228711075,2022.5116785100868,1987.8568642361784,2012.2270619244,1879.6014014747068,2477.456325278813,2609.484801260953,2469.195328431752,2289.453196483469,2294.8882315684637,NonAnalog,NonAnalog,NonAnalog,NonAnalog,NonAnalog
10000600,Lake or Pond,458129.278,4969419.185,Carver,Y,1,1.534992195,4.6,126.0616,2026.163995245035,2057.2458343723747,2027.6268502927385,2040.1602041837864,1912.75036955471,2508.068262551373,2638.146859612923,2504.273923055549,2319.52554277116,2318.9802534353107,NonAnalog,NonAnalog,NonAnalog,NonAnalog,NonAnalog
