DOWLKNUM,UTMX,UTMY,LON,LAT
16037300,670266.5941,5289495.245,-90.72895913,47.73635036
16038400,672949.5583,5299063.474,-90.68939282,47.82165736
16063900,652396.5611,5283897.15,-90.96910601,47.69048074
16064500,653497.7843,5287170.207,-90.95328807,47.71965115
17000300,343649.8708,4867941.671,-94.94841676,43.94799092
17006000,302969.2819,4861231.41,-95.45247957,43.87786487
18001800,432912.5249,5120578.576,-93.87010128,46.23547283
18002000,434185.1998,5128276.515,-93.85467314,46.30487035
18003400,434226.7928,5137763.416,-93.85546391,46.39024504
18003800,429742.1407,5138255.585,-93.91385912,46.39422268
18004400,430599.9309,5134093.648,-93.90208612,46.35685955
18005000,429600.3497,5133574.872,-93.91499943,46.35208805
18008800,428726.4569,5112685.585,-93.92319572,46.16401887
18009000,429052.0004,5147848.052,-93.92429319,46.48046824
18009600,420107.439,5129044.926,-94.03759028,46.3102723
18015500,396860.5498,5121111.765,-94.3376927,46.23575619
18017000,432442.3586,5165589.55,-93.88271535,46.64046157
18018000,436442.9433,5176574.657,-93.83196558,46.73970023
18018400,431354.0685,5168309.728,-93.89733808,46.66482771
18018500,430006.1245,5176629.105,-93.91622171,46.73954663
18020300,427718.5976,5175046.162,-93.94591232,46.72505974
18021200,427186.2071,5177734.199,-93.95330467,46.74918871
18024200,417711.3332,5156192.006,-94.07348974,46.55425747
18024300,415630.3528,5153837.506,-94.10020384,46.53281414
18026600,418310.1492,5172750.725,-94.06860779,46.70332233
18026900,413376.0051,5173541.482,-94.1332891,46.70981624
18027100,416416.5685,5171244.969,-94.09310024,46.68954016
18028700,419324.466,5165666.804,-94.05410145,46.63970607
18031000,406667.6424,5171605.624,-94.22064137,46.6914962
18031200,413544.6229,5168506.174,-94.13013814,46.66453286
18031500,411377.8286,5174447.122,-94.15960009,46.71770276
18035400,409402.1046,5169843.269,-94.18454012,46.67601558
18035500,404105.3968,5168563.586,-94.25351028,46.6637643
18035600,405896.6554,5168926.827,-94.2301751,46.66728656
18036100,408079.8431,5167323.115,-94.20132198,46.6531607
18037300,401478.3842,5145709.807,-94.28298444,46.45776319
18037600,403693.6721,5157743.837,-94.25663674,46.56635777
18037700,403254.0578,5156211.881,-94.26205188,46.55251119
18037800,401702.74,5169204.288,-94.28504587,46.66918037
18037900,400900.5526,5134064.359,-94.2880384,46.35289954
18038600,400979.9976,5136507.154,-94.2875224,46.3748902
18040300,401033.4555,5154735.225,-94.29069728,46.53890221
19002500,480060.3091,4952596.85,-93.25179752,44.72647542
19002700,478881.7585,4952116.996,-93.2666602,44.72212186
19003100,475483.6171,4949787.6,-93.30945621,44.70104381
19005000,492277.0994,4969128.431,-93.09777587,44.87553242
19005700,487029.5739,4963190.544,-93.1640602,44.82200259
19005900,485624.2613,4962887.159,-93.18182704,44.81924455
19006700,486424.05,4960026.729,-93.17163483,44.79351007
19007200,488700.4561,4958560.615,-93.14282277,44.78035139
19007500,489816.4206,4959014.433,-93.12872643,44.78445354
19007600,489828.5119,4959429.509,-93.12858189,44.78819033
21005200,319448.2347,5085481.879,-95.32753287,45.89919642
