DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,SURVEYED,EWMSTATUS,avg_secchi,max_secchi,roaddensity_density_mperha
15008100,Lake or Pond,318812.9639,5266860.09,Clearwater,Y,0,3.076571969,4.88,101.1057
16002500,Lake or Pond,721550.6361,5326261.372,Cook,Y,0,0.6,0.6,0
16002600,Lake or Pond,719551.9508,5326981.356,Cook,Y,0,3.0108,5.49,10.6668
16002700,Lake or Pond,718155.7151,5326381.303,Cook,Y,0,4.753024533,7.75,19.954
16002900,Lake or Pond,716059.7318,5320181.334,Cook,Y,0,2.70824,3.96,9.6534
16004100,Lake or Pond,711256.4998,5327125.628,Cook,Y,0,5.438945455,6.86,0.156
16004900,Lake or Pond,711433.8809,5305750.799,Cook,Y,0,5.518451852,9.5,22.1154
16007700,Lake or Pond,710866.8332,5320336.41,Cook,Y,0,4.588785172,6.3,14.9628
16014100,Lake or Pond,700264.646,5327485.593,Cook,Y,0,4.181933333,5.94,0.1571
16014300,Lake or Pond,692819.6986,5299897.091,Cook,Y,0,3.01294363,5.94,44.0453
16014700,Lake or Pond,694690.9891,5325415.02,Cook,Y,0,5.617156522,7.47,22.0089
16035600,Lake or Pond,671881.7594,5330298.623,NOT IN MN,Y,0,4.773283761,7.5,18.2754
18003400,Lake or Pond,434226.7928,5137763.416,Crow Wing,Y,1,4.390224726,9.246666667,58.6131
18003800,Lake or Pond,429742.1407,5138255.585,Crow Wing,Y,1,3.76381106,6.1,32.691
18004100,Lake or Pond,430581.7008,5135503.956,Crow Wing,Y,1,4.9276,5.6388,44.3127
18004400,Lake or Pond,430599.9309,5134093.648,Crow Wing,Y,1,4.322330435,6.4,32.323
18005000,Lake or Pond,429600.3497,5133574.872,Crow Wing,Y,1,3.815045685,7.16,42.1416
18009000,Lake or Pond,429052.0004,5147848.052,Crow Wing,Y,0,4.58411866,7.6,119.9252
18009600,Lake or Pond,420107.439,5129044.926,Crow Wing,Y,1,2.19342385,6.85,44.2378
18013900,Lake or Pond,419150.0305,5146593.465,Crow Wing,Y,0,3.118538182,5.4,33.311
18014000,Lake or Pond,418609.6165,5151063.495,Crow Wing,Y,0,3.60024,4.9,15.3924
18014500,Lake or Pond,410275.1121,5137108.826,Crow Wing,Y,0,2.282021333,5.6,86.2031
18018500,Lake or Pond,430006.1245,5176629.105,Crow Wing,Y,1,1.724035714,4.42,25.7684
18020300,Lake or Pond,427718.5976,5175046.162,Crow Wing,Y,1,1.592363842,4.2,49.2235
18021200,Lake or Pond,427186.2071,5177734.199,Crow Wing,Y,1,5.241206504,7.8,42.2696
18024200,Lake or Pond,417711.3332,5156192.006,Crow Wing,Y,1,3.342362483,9.4,31.4841
18024300,Lake or Pond,415630.3528,5153837.506,Crow Wing,Y,1,2.883679918,8.53,24.1841
18026100,Lake or Pond,415358.0286,5165356.307,Crow Wing,Y,1,3.243943662,5.2,29.0417
18026600,Lake or Pond,418310.1492,5172750.725,Crow Wing,Y,0,2.830850413,4.4,30.2771
18026900,Lake or Pond,413376.0051,5173541.482,Crow Wing,Y,0,4.353151648,6.1,54.4162
18027100,Lake or Pond,416416.5685,5171244.969,Crow Wing,Y,0,2.651096154,5.18,54.5322
18030500,Lake or Pond,410990.0523,5151343.007,Crow Wing,Y,0,4.303095502,8.84,61.3463
18030800,Lake or Pond,409892.1777,5158721.538,Crow Wing,Y,0,5.198569281,11,62.903
18031000,Lake or Pond,406667.6424,5171605.624,Crow Wing,Y,0,3.298685712,6.7,30.7926
18031100,Lake or Pond,413256.7257,5171582.557,Crow Wing,Y,0,4.303714286,6.58,45.3602
