EWMSTATUS,avg_secchi,roaddensity_density_mperha,IPSL.avg.ann.gdd
0,0.6248,66.9898,2018.76814924877
0,0.31,73.1826,2237.7741372382534
0,0.7619836,34.0797,1890.650997424755
1,0.918167203,85.5335,2128.23387643478
1,1.146863469,77.6221,2049.4999755456834
1,2.7432,63.816,2012.6141531662383
1,1.98214527,92.6389,1912.0543843144533
1,2.571705112,44.2011,1912.520100076405
1,1.955112195,104.1512,2044.649750432845
1,1.66660098,76.7696,2063.7037089096216
1,3.679050794,37.3234,2004.756968623695
1,1.391927737,90.806,2090.7381399032333
1,1.874242424,9.7142,2017.4816091457185
1,2.439264706,19.0464,2039.3803254852733
1,1.840947778,49.6204,2054.3796675559865
1,3.467823529,85.1868,1970.8107552974632
0,3.374182564,48.1773,1706.3619894845317
0,3.302962543,71.9184,1641.7798929293417
1,3.321019827,62.5461,1747.3395646405934
0,1.759939003,29.4784,1782.970358177915
1,3.545205446,67.0541,1642.3795648639016
1,4.240989029,49.6396,1635.7994097877267
0,2.582881146,35.9657,1692.211248671137
0,3.396240908,35.2551,1709.5321843481
0,3.723580926,69.4655,1641.2140307642633
0,3.778726025,33.0531,1615.461443810965
0,2.791264723,30.0683,1675.6734102330863
0,1.856152809,21.1085,1675.0566703218817
0,2.153136207,33.1861,1703.2948740765082
0,2.401,37.9007,1641.2140307642633
0,2.716216667,47.6689,1733.545669715055
0,3.137430894,22.5438,1732.7353985149384
0,3.720473529,27.8395,1512.7451915815
0,3.218243284,37.7545,1680.6628564739149
0,4.019021538,61.5905,1709.7853548464734
0,3.636026087,35.6676,1512.7451915815
0,4.1148,60.3518,1700.9219271797233
0,3.548489552,38.4945,1635.5720176507
0,2.529,17.2394,1624.464962904833
0,4.079306803,40.1846,1636.7694152822933
1,2.418737778,16.0701,1717.8231139229767
0,2.078150289,30.4775,1767.5271005751815
0,2.7432,40.4136,1728.8062363255683
0,3.723582873,26.5723,1706.4821969775485
0,3.083651429,30.7304,1754.39300882004
0,2.53524631,34.2202,1615.0828603152534
1,2.1209,17.9185,1778.2244641844018
